PRECINCT NAME,REGISTERED VOTERS,BALLOTS CAST,REP,DEM,LIB,GRN,Write-in
PCT 001,2737,376,229,139,6,1,0
PCT 001,2737,1052,561,471,14,3,0
PCT 001,2737,62,34,27,1,0,0
PCT 001,2737,1,0,1,0,0,0
PCT 001,2737,0,0,0,0,0,0
PCT 002,4654,599,315,274,8,2,0
PCT 002,4654,1406,693,701,7,1,0
PCT 002,4654,78,35,42,0,0,0
PCT 002,4654,1,0,1,0,0,0
PCT 002,4654,0,0,0,0,0,0
PCT 003,2834,295,82,199,9,2,1
PCT 003,2834,520,163,350,4,1,0
PCT 003,2834,20,4,16,0,0,0
PCT 003,2834,0,0,0,0,0,0
PCT 003,2834,0,0,0,0,0,0
PCT 004,3016,538,375,153,6,1,0
PCT 004,3016,1123,758,353,10,0,0
PCT 004,3016,31,20,10,1,0,0
PCT 004,3016,2,1,1,0,0,0
PCT 004,3016,0,0,0,0,0,0
PCT 005,1029,129,77,46,4,2,0
PCT 005,1029,410,271,134,4,0,0
PCT 005,1029,37,22,15,0,0,0
PCT 005,1029,0,0,0,0,0,0
PCT 005,1029,0,0,0,0,0,0
PCT 006,1616,234,106,121,4,2,1
PCT 006,1616,501,200,292,7,0,0
PCT 006,1616,6,2,4,0,0,0
PCT 006,1616,3,1,2,0,0,0
PCT 006,1616,0,0,0,0,0,0
PCT 007,1549,202,104,94,2,2,0
PCT 007,1549,553,266,277,4,1,2
PCT 007,1549,32,13,19,0,0,0
PCT 007,1549,3,0,3,0,0,0
PCT 007,1549,0,0,0,0,0,0
PCT 008,3617,603,412,184,6,0,0
PCT 008,3617,1003,694,299,5,3,0
PCT 008,3617,47,25,21,0,0,0
PCT 008,3617,6,6,0,0,0,0
PCT 008,3617,0,0,0,0,0,0
PCT 009,3379,569,320,235,11,3,0
PCT 009,3379,994,586,390,16,0,0
PCT 009,3379,43,26,17,0,0,0
PCT 009,3379,5,2,3,0,0,0
PCT 009,3379,0,0,0,0,0,0
PCT 010,803,126,107,17,1,0,0
PCT 010,803,306,263,40,2,0,0
PCT 010,803,23,13,10,0,0,0
PCT 010,803,0,0,0,0,0,0
PCT 010,803,0,0,0,0,0,0
PCT 011,4555,814,651,153,9,1,0
PCT 011,4555,1420,1139,257,13,6,0
PCT 011,4555,55,28,27,0,0,0
PCT 011,4555,2,1,1,0,0,0
PCT 011,4555,0,0,0,0,0,0
PCT 012,2149,267,182,85,0,0,0
PCT 012,2149,874,521,334,10,3,0
PCT 012,2149,111,74,36,1,0,0
PCT 012,2149,1,1,0,0,0,0
PCT 012,2149,0,0,0,0,0,0
PCT 013,2187,447,332,109,6,0,0
PCT 013,2187,880,643,227,8,1,0
PCT 013,2187,30,16,14,0,0,0
PCT 013,2187,1,1,0,0,0,0
PCT 013,2187,0,0,0,0,0,0
PCT 014,3268,480,210,256,10,1,1
PCT 014,3268,1015,434,573,4,1,1
PCT 014,3268,77,32,45,0,0,0
PCT 014,3268,3,1,2,0,0,0
PCT 014,3268,1,0,1,0,0,0
PCT 015,1650,180,73,102,2,1,1
PCT 015,1650,535,255,269,5,2,1
PCT 015,1650,48,14,34,0,0,0
PCT 015,1650,3,1,2,0,0,0
PCT 015,1650,0,0,0,0,0,0
PCT 016,4631,755,508,232,12,2,0
PCT 016,4631,1658,1092,546,15,2,0
PCT 016,4631,52,27,25,0,0,0
PCT 016,4631,0,0,0,0,0,0
PCT 016,4631,0,0,0,0,0,0
PCT 017,4647,695,434,242,10,6,1
PCT 017,4647,1529,887,612,18,6,0
PCT 017,4647,62,34,28,0,0,0
PCT 017,4647,4,2,2,0,0,0
PCT 017,4647,0,0,0,0,0,0
PCT 018,937,106,82,23,1,0,0
PCT 018,937,339,281,49,6,1,0
PCT 018,937,12,9,3,0,0,0
PCT 018,937,0,0,0,0,0,0
PCT 018,937,0,0,0,0,0,0
PCT 019,1644,195,112,72,8,1,0
PCT 019,1644,787,407,368,7,1,0
PCT 019,1644,52,24,27,1,0,0
PCT 019,1644,4,0,4,0,0,0
PCT 019,1644,0,0,0,0,0,0
PCT 020,995,262,220,39,3,0,0
PCT 020,995,379,286,92,0,1,0
PCT 020,995,11,3,8,0,0,0
PCT 020,995,3,0,3,0,0,0
PCT 020,995,0,0,0,0,0,0
PCT 021,4296,568,267,280,14,2,2
PCT 021,4296,1851,888,931,22,2,1
PCT 021,4296,116,59,56,1,0,0
PCT 021,4296,2,0,2,0,0,0
PCT 021,4296,0,0,0,0,0,0
PCT 022,4400,711,573,118,18,1,1
